class_id,conf_band,slot,slot_assignment_count,slot_unique_detections,slot_images
25,low_conf,left_hand,11263,11263,11263
25,low_conf,mouth,158,158,158
25,low_conf,right_hand,12209,12209,12209
25,low_conf,shoulder,536,536,536
25,low_conf,top_face,71,71,71
25,low_conf,waist,1678,1678,1678
26,low_conf,feet,23407,23407,23407
26,low_conf,left_eye,192,192,192
26,low_conf,left_hand,22819,22819,22819
26,low_conf,mouth,4751,4751,4751
26,low_conf,right_eye,189,189,189
26,low_conf,right_hand,22732,22732,22732
26,low_conf,shoulder,8223,8223,8223
26,low_conf,top_face,5,5,5
26,low_conf,waist,22969,22969,22969
27,low_conf,left_hand,6121,6121,6121
27,low_conf,mouth,63329,63329,63329
27,low_conf,right_hand,6626,6626,6626
27,low_conf,shoulder,246538,246538,246538
39,low_conf,feet,1597,1597,1597
39,low_conf,left_eye,396,396,396
39,low_conf,left_hand,8612,8612,8612
39,low_conf,mouth,1239,1239,1239
39,low_conf,right_eye,406,406,406
39,low_conf,right_hand,9381,9381,9381
39,low_conf,shoulder,490,490,490
39,low_conf,top_face,91,91,91
40,low_conf,feet,263,263,263
40,low_conf,left_eye,84,84,84
40,low_conf,left_hand,3372,3372,3372
40,low_conf,mouth,401,401,401
40,low_conf,right_eye,71,71,71
40,low_conf,right_hand,3849,3849,3849
40,low_conf,shoulder,110,110,110
40,low_conf,top_face,13,13,13
41,low_conf,feet,5590,5590,5590
41,low_conf,left_eye,266,266,266
41,low_conf,left_hand,34492,34492,34492
41,low_conf,mouth,8328,8328,8328
41,low_conf,right_eye,171,171,171
41,low_conf,right_hand,37631,37631,37631
41,low_conf,shoulder,705,705,705
41,low_conf,top_face,52,52,52
41,low_conf,waist,704,704,704
42,low_conf,left_eye,43,43,43
42,low_conf,left_hand,1508,1508,1508
42,low_conf,mouth,421,421,421
42,low_conf,right_eye,25,25,25
42,low_conf,right_hand,2751,2751,2751
42,low_conf,shoulder,383,383,383
42,low_conf,top_face,7,7,7
42,low_conf,waist,282,282,282
43,low_conf,left_eye,34,34,34
43,low_conf,left_hand,2733,2733,2733
43,low_conf,mouth,488,488,488
43,low_conf,right_eye,25,25,25
43,low_conf,right_hand,3277,3277,3277
43,low_conf,shoulder,198,198,198
43,low_conf,top_face,8,8,8
43,low_conf,waist,666,666,666
44,low_conf,left_eye,103,103,103
44,low_conf,left_hand,1436,1436,1436
44,low_conf,mouth,773,773,773
44,low_conf,right_eye,89,89,89
44,low_conf,right_hand,2692,2692,2692
44,low_conf,shoulder,500,500,500
44,low_conf,top_face,23,23,23
44,low_conf,waist,1007,1007,1007
45,low_conf,feet,907,907,907
45,low_conf,left_eye,133,133,133
45,low_conf,left_hand,5775,5775,5775
45,low_conf,mouth,2032,2032,2032
45,low_conf,right_eye,149,149,149
45,low_conf,right_hand,5310,5310,5310
45,low_conf,shoulder,439,439,439
45,low_conf,top_face,126,126,126
45,low_conf,waist,2807,2807,2807
46,low_conf,left_eye,91,91,91
46,low_conf,left_hand,1767,1767,1767
46,low_conf,mouth,345,345,345
46,low_conf,right_eye,95,95,95
46,low_conf,right_hand,2015,2015,2015
46,low_conf,shoulder,357,357,357
46,low_conf,top_face,40,40,40
46,low_conf,waist,283,283,283
47,low_conf,left_eye,210,210,210
47,low_conf,left_hand,2645,2645,2645
47,low_conf,mouth,703,703,703
47,low_conf,right_eye,176,176,176
47,low_conf,right_hand,3087,3087,3087
47,low_conf,shoulder,463,463,463
47,low_conf,top_face,90,90,90
47,low_conf,waist,1007,1007,1007
48,low_conf,left_eye,21,21,21
48,low_conf,left_hand,1445,1445,1445
48,low_conf,mouth,354,354,354
48,low_conf,right_eye,20,20,20
48,low_conf,right_hand,1449,1449,1449
48,low_conf,shoulder,190,190,190
48,low_conf,top_face,5,5,5
48,low_conf,waist,206,206,206
49,low_conf,left_eye,84,84,84
49,low_conf,left_hand,1460,1460,1460
49,low_conf,mouth,483,483,483
49,low_conf,right_eye,108,108,108
49,low_conf,right_hand,1506,1506,1506
49,low_conf,shoulder,330,330,330
49,low_conf,top_face,47,47,47
49,low_conf,waist,653,653,653
50,low_conf,left_eye,14,14,14
50,low_conf,left_hand,473,473,473
50,low_conf,mouth,348,348,348
50,low_conf,right_eye,11,11,11
50,low_conf,right_hand,489,489,489
50,low_conf,shoulder,253,253,253
50,low_conf,top_face,2,2,2
50,low_conf,waist,225,225,225
56,low_conf,feet,36000,36000,36000
56,low_conf,left_hand,63390,63390,63390
56,low_conf,right_hand,61013,61013,61013
56,low_conf,waist,71667,71667,71667
57,low_conf,feet,4895,4895,4895
57,low_conf,left_hand,42186,42186,42186
57,low_conf,right_hand,42038,42038,42038
57,low_conf,waist,8272,8272,8272
59,low_conf,feet,1923,1923,1923
59,low_conf,left_hand,16312,16312,16312
59,low_conf,right_hand,16096,16096,16096
