ihp_cluster,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_525
119,44.0,97.0,11.0,1.0,113.0,12.0,29.0,31.0,11.0,15.0,44.0,1.0,34.0,31.0,1.0,0.0,0.0
120,145.0,257.0,41.0,38.0,250.0,44.0,173.0,116.0,45.0,59.0,103.0,16.0,95.0,87.0,17.0,0.0,0.0
121,77.0,308.0,15.0,13.0,190.0,28.0,103.0,103.0,49.0,22.0,70.0,5.0,64.0,100.0,2.0,0.0,0.0
122,8.0,13.0,2.0,1.0,9.0,4.0,12.0,7.0,1.0,3.0,7.0,0.0,4.0,5.0,1.0,0.0,0.0
123,245.0,583.0,50.0,26.0,537.0,115.0,168.0,239.0,138.0,94.0,178.0,13.0,215.0,231.0,31.0,0.0,0.0
124,46.0,53.0,13.0,12.0,68.0,11.0,39.0,22.0,10.0,23.0,31.0,2.0,13.0,22.0,3.0,0.0,0.0
125,13.0,11.0,19.0,14.0,22.0,4.0,32.0,7.0,6.0,10.0,18.0,1.0,5.0,7.0,3.0,0.0,0.0
126,201.0,359.0,45.0,63.0,337.0,44.0,236.0,109.0,71.0,76.0,165.0,23.0,118.0,130.0,27.0,0.0,0.0
127,4.0,12.0,0.0,1.0,7.0,0.0,5.0,4.0,2.0,2.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
