ihp_cluster,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_525
138,19.0,14.0,2.0,2.0,34.0,0.0,11.0,7.0,7.0,5.0,12.0,2.0,13.0,8.0,0.0,0.0,0.0
139,14.0,31.0,0.0,1.0,31.0,5.0,12.0,13.0,2.0,5.0,17.0,0.0,20.0,16.0,0.0,0.0,0.0
140,9.0,13.0,5.0,0.0,27.0,1.0,11.0,4.0,3.0,2.0,13.0,0.0,8.0,6.0,0.0,0.0,0.0
141,6.0,7.0,5.0,2.0,4.0,2.0,11.0,2.0,1.0,0.0,4.0,2.0,0.0,5.0,2.0,0.0,0.0
142,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
143,11.0,7.0,0.0,1.0,3.0,4.0,10.0,5.0,3.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0
144,4.0,29.0,3.0,2.0,32.0,1.0,21.0,16.0,8.0,4.0,13.0,0.0,21.0,22.0,2.0,0.0,0.0
145,11.0,12.0,1.0,0.0,12.0,3.0,12.0,4.0,1.0,4.0,6.0,0.0,4.0,1.0,2.0,0.0,0.0
146,27.0,34.0,5.0,7.0,47.0,4.0,22.0,15.0,8.0,15.0,21.0,2.0,28.0,23.0,4.0,0.0,0.0
147,14.0,15.0,3.0,2.0,26.0,4.0,10.0,6.0,2.0,1.0,15.0,2.0,9.0,11.0,2.0,0.0,0.0
148,26.0,27.0,7.0,1.0,29.0,5.0,15.0,8.0,3.0,8.0,12.0,1.0,10.0,6.0,2.0,0.0,0.0
149,7.0,11.0,4.0,4.0,20.0,1.0,12.0,5.0,4.0,3.0,6.0,0.0,8.0,7.0,2.0,0.0,0.0
150,10.0,10.0,3.0,1.0,9.0,1.0,7.0,4.0,1.0,4.0,8.0,0.0,4.0,5.0,0.0,0.0,0.0
