ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
193,25,526,257,1,0,0,12,1,3,4,3,6,15,13,43,3,14,3,5,23,6,3,1,159,1319
33,15,208,177,3,5,5,24,1,5,9,11,6,2,7,12,14,18,1,1,22,7,2,1,156,745
43,44,502,193,3,3,4,9,1,7,6,3,7,18,10,33,4,18,3,1,20,3,0,0,153,1088
110,24,706,231,3,1,1,6,2,3,1,1,5,15,3,50,5,16,2,2,30,3,3,1,153,1377
163,42,436,182,1,1,3,5,2,2,6,2,9,15,9,43,6,21,1,5,16,2,1,2,152,1127
87,31,332,131,1,1,4,11,3,8,3,8,5,13,6,29,6,17,2,4,22,2,0,1,146,873
12,32,707,277,1,0,0,4,1,1,1,0,6,13,2,64,5,14,0,1,25,3,1,1,143,1314
161,17,567,154,1,2,0,10,1,0,1,5,6,12,9,53,5,14,0,4,13,0,5,0,141,1181
236,9,157,143,5,3,3,14,2,5,11,9,8,3,3,21,5,15,1,1,20,3,6,1,139,823
169,13,440,209,2,4,2,8,3,4,6,9,8,10,2,17,4,17,2,4,25,5,4,1,137,1105
172,23,474,185,0,0,0,6,4,3,2,1,3,17,7,53,3,15,0,2,9,0,0,0,125,1104
60,20,445,137,1,0,0,2,2,0,3,8,6,13,2,32,3,18,2,2,26,1,1,1,123,908
134,17,277,286,2,0,2,7,3,7,4,5,15,5,3,21,3,13,4,3,15,5,2,1,120,954
174,19,412,166,0,0,0,4,1,4,1,7,1,9,6,44,4,10,0,5,18,4,2,0,120,1011
48,35,507,176,0,0,0,4,0,0,0,1,2,9,7,51,6,23,0,0,8,1,0,0,112,990
112,26,358,188,1,2,0,12,2,4,4,2,5,10,3,27,0,15,6,1,14,3,1,0,112,908
19,20,377,160,3,4,1,6,0,2,4,0,2,10,3,33,3,15,0,0,21,2,1,0,110,796
182,12,371,158,1,0,0,5,1,2,1,2,6,9,2,35,3,10,8,3,19,1,1,1,110,943
164,15,331,193,0,0,2,1,0,1,3,4,4,15,4,22,1,15,2,4,15,12,2,1,108,919
23,20,345,111,0,0,1,7,0,3,5,4,2,9,3,35,4,15,1,2,11,1,1,2,106,711
49,21,408,195,3,1,0,6,1,3,1,4,5,12,7,23,2,9,4,3,14,4,1,1,104,881
63,37,535,150,2,0,1,5,1,2,3,3,0,15,5,40,2,12,1,0,9,0,0,0,101,987
136,14,151,135,0,0,1,7,3,3,5,8,11,10,2,17,5,7,2,3,13,0,2,1,100,636
65,16,315,186,2,1,2,3,0,1,1,3,0,7,5,44,3,12,0,0,12,1,0,0,97,776
72,4,165,142,0,0,0,5,6,0,3,1,2,7,1,25,4,6,1,0,20,8,0,0,89,561
117,30,362,116,1,0,1,1,1,1,2,1,0,13,3,33,2,20,0,1,7,0,0,0,87,799
227,15,248,150,1,2,0,2,1,1,2,0,10,10,3,16,5,15,4,2,5,8,0,0,87,814
204,27,329,115,3,0,0,5,1,1,4,3,3,12,4,18,3,8,1,0,18,1,0,1,86,847
92,4,162,73,1,1,1,6,2,2,5,0,1,8,2,23,2,9,1,1,8,2,7,0,82,495
100,18,250,99,2,0,1,2,1,0,3,0,1,11,3,26,3,10,3,0,14,2,0,0,82,631
75,3,134,104,0,1,0,8,2,1,1,1,0,5,3,24,7,3,1,1,20,2,1,0,81,478
108,4,166,196,0,0,0,7,4,5,5,4,12,2,2,15,2,0,1,4,15,3,0,0,81,636
115,26,242,93,2,1,3,5,1,2,4,1,1,5,8,19,3,6,1,1,13,1,1,2,80,636
188,7,300,123,0,1,0,1,1,0,0,1,6,4,1,27,5,11,0,0,16,6,0,0,80,778
