cluster_no,pose_no,n,pitch_median,pitch_mean,pitch_std,pitch_p5,pitch_p95,pitch_iqr,pitch_survival_pct,pitch_outlier_pct,yaw_median,yaw_mean,yaw_std,yaw_p5,yaw_p95,yaw_iqr,yaw_survival_pct,yaw_outlier_pct,roll_median,roll_mean,roll_std,roll_p5,roll_p95,roll_iqr,roll_survival_pct,roll_outlier_pct
c241_p25_t0,25,342,-23.2805,-21.5237,17.4367,-47.1598,9.3791,23.6615,63.4503,4.6784,-21.7705,-21.3153,13.8236,-41.581,2.7525,16.8073,47.3684,3.8012,-3.494,-3.5078,6.8055,-14.8916,7.0255,7.3088,80.9942,4.386
c250_p28_t0,28,581,-18.595,-16.6379,17.1996,-39.246,13.446,26.767,57.315,4.1308,-1.784,-2.6882,10.9233,-21.957,16.038,11.001,62.4785,6.3683,-0.284,-0.7857,5.8584,-11.55,8.743,5.175,84.3373,6.8847
c252_p2341_t0,2341,333,-20.19,-17.7951,16.8293,-41.2716,11.7014,25.12,61.2613,4.2042,-1.663,-2.5681,12.924,-27.8978,17.9754,13.145,57.3574,8.4084,-0.684,-1.0029,5.5169,-11.0342,7.6274,4.35,84.0841,5.7057
c252_p734_t0,734,238,-20.39,-18.6121,15.3723,-39.574,9.7881,21.2168,65.9664,5.042,-2.9905,-4.8917,14.1773,-28.217,17.0519,13.1017,55.8824,5.4622,-0.88,-1.9229,6.0574,-12.4944,6.0883,4.7625,86.9748,5.8824
c252_p727_t0,727,337,-10.494,-11.2226,17.3303,-36.6746,17.3186,28.388,51.0386,0.5935,-2.715,-3.2616,11.8564,-24.9802,16.6822,11.292,61.1276,6.8249,-1.049,-1.4619,5.3978,-10.8036,7.428,4.547,87.5371,6.8249
c252_p28_t0,28,209,-19.118,-17.9867,17.1137,-41.7168,7.2834,24.871,59.3301,2.8708,-3.532,-5.0922,13.292,-27.875,17.0382,15.25,51.1962,5.7416,-1.065,-1.1851,6.2119,-9.9278,8.3272,5.208,87.0813,5.7416
c252_p2263_t0,2263,227,-24.491,-21.0596,14.8374,-39.6013,5.612,20.833,73.1278,6.6079,-1.975,-3.0096,13.6368,-24.4746,19.7702,12.778,55.5066,6.6079,-0.41,-1.1968,6.4069,-12.0075,7.2552,5.2865,84.5815,5.7269
c252_p586_t0,586,255,-28.492,-25.5792,15.4079,-45.1198,3.2744,18.0265,73.3333,5.4902,-5.663,-5.3722,15.575,-29.6802,21.4449,20.602,43.5294,4.3137,1.912,2.2846,8.6595,-10.4009,15.6962,8.7365,75.6863,5.8824
c256_p25_t0,25,418,-27.15,-24.3626,18.7456,-51.1068,9.2753,25.4477,56.9378,5.0239,15.832,15.5671,14.0688,-7.2839,37.3606,17.17,47.3684,4.7847,2.1665,2.2369,7.2479,-9.0701,13.5484,7.772,79.6651,5.9809
c270_p28_t0,28,609,-21.565,-19.4192,18.2314,-45.354,14.5476,24.633,58.7849,5.7471,-0.536,-0.4909,10.4684,-18.1334,17.4876,9.377,67.6519,5.9113,0.098,0.2961,5.1555,-8.5672,8.5018,4.378,87.5205,6.5681
c272_p1685_t0,1685,330,-28.5265,-24.5138,15.669,-42.859,7.0293,19.2628,75.4545,8.1818,-0.3865,-0.8707,9.3342,-17.3122,12.044,6.2478,73.6364,6.9697,-0.0265,0.0583,4.5547,-6.9373,8.1103,3.2188,90.9091,7.5758
