old_cluster_id,image_count,new_cluster_id
135505,315,856
135506,512,857
135507,232,858
135508,359,859
135509,520,860
135510,388,861
135511,225,862
135512,294,863
135513,261,864
135514,2141,865
135515,436,866
135516,475,867
135517,732,868
135518,385,869
135519,772,870
135520,227,871
135521,1285,872
135522,1834,873
135523,537,874
135524,249,875
135525,351,876
135526,2191,877
135527,248,878
135528,222,879
135529,228,880
135530,428,881
135531,481,882
135532,408,883
135533,208,884
135534,205,885
135535,252,886
135536,452,887
135537,341,888
135538,216,889
135539,524,890
135540,407,891
135541,267,892
135542,222,893
135543,212,894
135544,608,895
135545,384,896
135546,223,897
135547,302,898
135548,221,899
135549,314,900
135550,222,901
135551,217,902
135552,322,903
135553,379,904
135554,625,905
135555,261,906
135556,261,907
135557,222,908
135558,501,909
135559,248,910
135560,584,911
135561,475,912
135562,214,913
135563,336,914
135564,277,915
135565,207,916
135566,215,917
135567,581,918
135568,299,919
135569,437,920
135570,255,921
135571,396,922
135572,848,923
135573,1653,924
135574,454,925
135575,611,926
135576,227,927
135577,201,928
135578,209,929
135579,477,930
135580,472,931
135581,224,932
135582,340,933
135583,733,934
135584,314,935
135585,417,936
135586,208,937
135587,527,938
135588,2514,939
135589,489,940
135590,222,941
135591,1103,942
135592,460,943
135593,216,944
135594,235,945
135595,401,946
135596,404,947
135597,240,948
135598,263,949
135599,288,950
135600,2958,951
135601,633,952
135602,234,953
135603,280,954
135604,363,955
135605,289,956
135606,1928,957
135607,3246,958
135608,327,959
135609,210,960
135610,290,961
135611,226,962
135612,355,963
135613,321,964
135614,317,965
135615,200,966
135616,788,967
135617,364,968
135618,379,969
135619,417,970
135620,254,971
135621,311,972
135622,1406,973
135623,1317,974
135624,582,975
135625,305,976
135626,546,977
135627,264,978
135628,1125,979
135629,245,980
135630,388,981
135631,328,982
135632,253,983
135633,5035,984
135634,651,985
135635,307,986
135636,399,987
135637,261,988
135638,285,989
135639,338,990
135640,1745,991
135641,432,992
135642,484,993
135643,273,994
135644,255,995
135645,2073,996
135646,226,997
135647,369,998
135648,291,999
135649,268,1000
135650,1157,1001
135651,648,1002
135652,374,1003
135653,611,1004
135654,413,1005
135655,754,1006
135656,379,1007
135657,226,1008
135658,5003,1009
135659,314,1010
135660,230,1011
135661,1447,1012
135662,283,1013
135663,205,1014
135664,1001,1015
135665,205,1016
135666,641,1017
